,hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng,reviewer_region
56905,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,7/22/2016,8.4,DoubleTree by Hilton London Hyde Park,Australia,No Negative,0,2405,Friendly helpful staff great location spacious rooms with attention to detail,12,2,9.2,"[' Solo traveler ', ' King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",377 day,51.5100362,-0.190657,Oceania
56933,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,6/25/2016,8.4,DoubleTree by Hilton London Hyde Park,Australia,Breakfast service sometimes a bit slow to bring tea coffee,12,2405,No Positive,0,3,9.2,"[' Business trip ', ' Solo traveler ', ' King Room ', ' Stayed 9 nights ']",404 day,51.5100362,-0.190657,Oceania
56936,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,6/21/2016,8.4,DoubleTree by Hilton London Hyde Park,Australia,Wifi didn t work on level 7,8,2405,Great location easy access to Central line or Circle District tube clean comfy room and 12pm check out,20,4,8.3,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",408 day,51.5100362,-0.190657,Oceania
56938,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,6/20/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,Small bathrooms,3,2405,Great location and helpful friendly staff,7,2,10.0,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 6 nights ']",409 day,51.5100362,-0.190657,North America
56942,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,6/14/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,No Negative,0,2405,Staff was helpful all the time Loved staying there would book again,13,1,9.6,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",415 day,51.5100362,-0.190657,North America
56950,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,6/2/2016,8.4,DoubleTree by Hilton London Hyde Park,Australia,No Negative,0,2405,Good location helpful staff well appointed good breakfast,9,2,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",427 day,51.5100362,-0.190657,Oceania
56952,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,5/31/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,No Negative,0,2405,Very near Kensington gardens and tube stations Clean hotel and very good breakfast,15,32,9.2,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 3 nights ']",429 day,51.5100362,-0.190657,North America
56957,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,5/27/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,The discrepancy in the reservation price and the price I was charged when I got to the location,20,2405,No Positive,0,1,8.3,"[' Leisure trip ', ' Group ', ' Queen Room ', ' Stayed 2 nights ']",433 day,51.5100362,-0.190657,North America
56962,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,5/21/2016,8.4,DoubleTree by Hilton London Hyde Park,Australia,Room service was not available staff were not helpful,11,2405,Bed was comfortable,5,1,6.7,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",439 day,51.5100362,-0.190657,Oceania
56985,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,4/19/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,Not much,4,2405,We arrived late and hungry The staff greeted us with warm cookies and directed us to the restaurant,20,1,9.6,"[' Leisure trip ', ' Family with older children ', ' Queen Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",471 day,51.5100362,-0.190657,North America
56994,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,4/12/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,Room was small had to get twin beds,10,2405,Decent breakfast great location,5,1,9.2,"[' Leisure trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 4 nights ']",478 day,51.5100362,-0.190657,North America
57002,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,4/3/2016,8.4,DoubleTree by Hilton London Hyde Park,Australia,Slight smell from sewerage system,7,2405,Perfect location bus stop out front underground close by Walking distance for so many places,17,7,8.8,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",487 day,51.5100362,-0.190657,Oceania
57005,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,3/29/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,No Negative,0,2405,Location is excellent for Portobello Market and Hyde Park,11,7,9.2,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",492 day,51.5100362,-0.190657,North America
57012,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,3/17/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,No Negative,0,2405,Location,2,3,8.3,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",504 day,51.5100362,-0.190657,North America
57039,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,2/13/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,Room was a bit small but we were hardly there so it worked out,16,2405,Perfect location Breakfast was good,7,5,10.0,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",537 day,51.5100362,-0.190657,North America
57040,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,2/12/2016,8.4,DoubleTree by Hilton London Hyde Park,United States of America,I wish there was a shuttle service to from the airport,13,2405,Location is amazing,5,1,9.6,"[' Leisure trip ', ' Solo traveler ', ' Twin Room ', ' Stayed 7 nights ']",538 day,51.5100362,-0.190657,North America
57070,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,1/11/2016,8.4,DoubleTree by Hilton London Hyde Park,Australia,Smell in our room but they upgraded us in record time,12,2405,Service,2,8,8.8,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",570 day,51.5100362,-0.190657,Oceania
57094,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,12/20/2015,8.4,DoubleTree by Hilton London Hyde Park,Australia,No Negative,0,2405,Well located to Covent Gardens and shops underground trains and attractions,12,1,7.9,"[' Leisure trip ', ' Couple ', ' Queen Room with Mobility Access ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",592 day,51.5100362,-0.190657,Oceania
57125,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,11/9/2015,8.4,DoubleTree by Hilton London Hyde Park,United States of America,Beds were good but not as comfortable as we would have liked,14,2405,Excellent location Nice clean room Friendly staff,9,2,9.2,"[' Leisure trip ', ' Family with older children ', ' King Room ', ' Stayed 2 nights ']",633 day,51.5100362,-0.190657,North America
57133,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,11/5/2015,8.4,DoubleTree by Hilton London Hyde Park,New Zealand,room was a bit noisey,6,2405,Good Location staff friendly,5,2,7.1,"[' Leisure trip ', ' Solo traveler ', ' Queen Room with Mobility Access ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",637 day,51.5100362,-0.190657,Oceania
57135,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,11/3/2015,8.4,DoubleTree by Hilton London Hyde Park,Australia,No Negative,0,2405,The single room was a reasonable size not tiny as in some hotels The staff were friendly and accommodating,21,1,9.2,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 5 nights ']",639 day,51.5100362,-0.190657,Oceania
57139,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,10/27/2015,8.4,DoubleTree by Hilton London Hyde Park,United States of America,No Negative,0,2405,Breakfast is good Staff very helpful,8,1,8.8,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",646 day,51.5100362,-0.190657,North America
57151,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,10/8/2015,8.4,DoubleTree by Hilton London Hyde Park,Australia,No Negative,0,2405,Friendly staff that were very helpful The location is great to access tube and having that magnificent park across the road is brilliant,25,7,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",665 day,51.5100362,-0.190657,Oceania
57155,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,10/1/2015,8.4,DoubleTree by Hilton London Hyde Park,Canada,No Negative,0,2405,Front desk staff and concierge were excellent Location to tube stations great,14,4,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",672 day,51.5100362,-0.190657,North America
57177,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,8/25/2015,8.4,DoubleTree by Hilton London Hyde Park,New Zealand,No Negative,0,2405,Excellent location very helpful staff aircon fridge in room great breakfast What more could you want,18,6,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",709 day,51.5100362,-0.190657,Oceania
57180,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,8/20/2015,8.4,DoubleTree by Hilton London Hyde Park,Australia,No Negative,0,2405,Amazing location on Bayswater Road Modern clean tidy room even if small Very tasty cookie on check in and great breakfast,23,1,7.9,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",714 day,51.5100362,-0.190657,Oceania
57181,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,8/20/2015,8.4,DoubleTree by Hilton London Hyde Park,New Zealand,A cracked glass was nt replaced by maid and could nt get reception on TV the last morning but it was nothing major,25,2405,It was quiet and comfortable,6,1,10.0,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",714 day,51.5100362,-0.190657,Oceania
57182,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,8/20/2015,8.4,DoubleTree by Hilton London Hyde Park,Australia,No Negative,0,2405,Lovely hotel friendly staff great location,8,42,9.6,"[' Leisure trip ', ' Group ', ' Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",714 day,51.5100362,-0.190657,Oceania
57184,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,8/16/2015,8.4,DoubleTree by Hilton London Hyde Park,Australia,Water not very hot,6,2405,Concierge staff were very helpful Housekeeping were excellent,10,4,7.9,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",718 day,51.5100362,-0.190657,Oceania
57185,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,8/13/2015,8.4,DoubleTree by Hilton London Hyde Park,Canada,No Negative,0,2405,Great location not super expensive It s basic but still good Close to the tube,17,16,8.8,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 1 night ']",721 day,51.5100362,-0.190657,North America
69001,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,7/5/2017,7.4,Hilton London Euston,Australia,It was very noisy at the property Workmen were doing drilling and renovations right outside the breakfast room The sound made us leave rather than enjoy the breakfast offerings because it was so loud The hotel really should have asked the workmen to begin work in that particular area after breakfast service I understand that renovations need to be undertaken but more care should be taken in relation to guest comfort It was disappointing that nothing was listed on the booking com website or the Hilton website itself about the renovations taking place,95,843,The bed was comfortable and the room clean The wifi was strong and all of the staff members were lovely and welcoming The location being so close to Euston Station was absolutely brilliant,35,14,6.3,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",29 days,51.5265189,-0.13036889999999998,Oceania
69003,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,6/25/2017,7.4,Hilton London Euston,Australia,Broken amenities in bathroom reported and not fixed we stayed in same room 4 days apart Male staff member on reception whom we encountered both stays was really rude and unhelpful Porter watched us struggle with bags up front stairs but didn t help,45,843,Beds and pillows so comfortable,6,6,7.1,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 1 night ']",39 days,51.5265189,-0.13036889999999998,Oceania
69016,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,4/9/2017,7.4,Hilton London Euston,Australia,Tea and coffee are average and need more milk in rooms,13,843,Staff very friendly and helpful location is fantastic with Kings Cross Station 7 mins Walk away Room service very good,22,12,10.0,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",116 day,51.5265189,-0.13036889999999998,Oceania
69019,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,3/22/2017,7.4,Hilton London Euston,United States of America,Although the wifi was free the signal was weak and iratic Hopefully once the renovation is complete it will improve,22,843,Rooms and beds were very comfortable and the lounge and bar were warm and inviting Room service was delicious and the staff were friendly and efficient Will definitely stay again,32,1,9.6,"[' Leisure trip ', ' Family with young children ', ' Twin Guest Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",134 day,51.5265189,-0.13036889999999998,North America
69026,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,2/16/2017,7.4,Hilton London Euston,New Zealand,I see no reason in this day and age why there should be a cost for WiFi It s a necessity for foreign travellers and you can t tell me the Hilton can t afford to wear the cost,41,843,Location was great,4,7,6.7,"[' Leisure trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",168 day,51.5265189,-0.13036889999999998,Oceania
69061,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,10/28/2016,7.4,Hilton London Euston,Canada,Longer cord for the hairdryer so it could reach the mirror,13,843,Very comfortable bed room size good Fabulous breakfast buffet This hotel exceeded my expectations after reading a few rather complaining reviews,23,10,9.2,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",279 day,51.5265189,-0.13036889999999998,North America
69069,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,10/6/2016,7.4,Hilton London Euston,Australia,Night receptionist was very rude and unhelpful We received the wrong room and he refused to help claiming the hotel was full and that what is it Funnily enough I could still book the exact same room over the Internet through the Hiltons direct website,46,843,Breakfast staff were lovely and was a good selection,10,3,5.8,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",301 day,51.5265189,-0.13036889999999998,Oceania
69076,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,9/28/2016,7.4,Hilton London Euston,United States of America,The lift had broken down There was only one lift So it meant climbing up and down the stairs My travel agent contacted the hotel to book me an early morning transfer to Heathrow Airport The duty manager assured her it would be booked It was never booked Luckily I double checked and Kareem the concierge booked the transfer for me,63,843,Clean comfortable and closely situated to Euston St Pancras and Kings Cross Railway stations,16,2,7.5,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",309 day,51.5265189,-0.13036889999999998,North America
69087,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,8/28/2016,7.4,Hilton London Euston,Australia,The staff were not informative or helpful Our requests for quiet room were met with a placement right next to the building works of the hotel and when contacted regarding adjoining room door which meant no soundproofing no assistance given Our room also had an additional portable bed placed in it which was not requested and made the room completely small We reduced our stay from 5 to 1 night and would never return Substandard on all levels,79,843,No Positive,0,10,3.3,"[' Business trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 4 nights ']",340 day,51.5265189,-0.13036889999999998,Oceania
69089,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,8/23/2016,7.4,Hilton London Euston,Australia,The concierge The prices at the bar The room service menu The size and outlook and air con in the rooms But this is an old building with old fashioned room sizes and outlooks Ask for one with an outlook not at the back,46,843,I have stayed at this hotel several times over 8 years It has had had a renovation and the bathrooms are lovely although I hate showers over a bath with a small glass screen The rooms are small but the beds are comfortable and linen good Some rooms are very small and have no air con and no outlook as the one we rented for a half day between a cruise and a flight home We were thankful to store luggage and for a shower etc but thankfully we were not in the room for more than an hour 85 We went to the zoo 10 min by cab Don t agree to rooms up the few stairs from reception 82 83 etc etc And I am a Hilton member We had stayed for 2 nights before the cruise and the room was ok although small with no outlook but breakfast was good and the staff friendly and obliging Also Euston station is 5 min walk I return here as I know what i m getting and no surprises and its a nice breakfast The drinks at the bar were expensive A pasta dish for my grandson from room service was fine but the menu limited The concierge as had experienced from the last visit was pathetic waited and waited for any attention and there was no offer of help with the luggage but being Australian I am happy to do it myself and then I save the tip,251,4,7.5,"[' Leisure trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 2 nights ']",345 day,51.5265189,-0.13036889999999998,Oceania
69115,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,5/8/2016,7.4,Hilton London Euston,United States of America,The constant construction was terribly obnoxious and irritating The air conditioning in the rooms barely worked Also having to travel 5 blocks to the other Hilton hotel to use the gym as their s was undergoing construction that we were not aware of was annoying,47,843,No Positive,0,1,7.1,"[' Leisure trip ', ' Group ', ' Twin Guest Room Plus ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",452 day,51.5265189,-0.13036889999999998,North America
69145,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,12/25/2015,7.4,Hilton London Euston,Canada,The room was so stuffy and it stunk Couldn t open a window because the only window was looking into the restaurant Had to keep the shutters closed so no one could see me which left the room always dark I didn t know I was paying so much for a single bed The carpet was filthy I didn t want to walk on it without shoes The Internet was useless it shut off every 3 minutes and I had to type in the code again I used the Internet for probably 2 hours total and had to type in the code about 20 times I thought Hilton was supposed to be a decent hotel I was so suprized to have such an uncomfortable stay 200 Canadian should get me a lot more considering it wasn t even in a prime location,144,843,The location was decent,5,1,3.3,"[' Leisure trip ', ' Solo traveler ', ' Single Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",587 day,51.5265189,-0.13036889999999998,North America
69171,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,10/24/2015,7.4,Hilton London Euston,New Zealand,the hotel was going through a make up lifts were t working My room was very small with no space to sit and relax There was an old smell in my room which was the carpet which needs replaced,41,843,staff were very good and friendly,8,18,6.3,"[' Leisure trip ', ' Solo traveler ', ' Single Guest Room ', ' Stayed 1 night ']",649 day,51.5265189,-0.13036889999999998,Oceania
69176,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,9/23/2015,7.4,Hilton London Euston,Canada,The air conditioning was broken so it was BOILING We were so uncomfortable as our room didn t need have a window We were moved to a different room that had windows but was much smaller The whole place seemed very dated for a Hilton,47,843,Location was perfect for getting around as it was so close to Euston station,16,1,5.8,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",680 day,51.5265189,-0.13036889999999998,North America
69177,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,9/19/2015,7.4,Hilton London Euston,Australia,My booking was moved to Paddington Hilton I was charged an item from the minibar I did not use I told reception and they said would remove it When I return home I was charged with more items I did not use I ve emailed hotel several times and no one has bothered to email back Not happy,60,843,No Positive,0,2,6.3,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",684 day,51.5265189,-0.13036889999999998,Oceania
69190,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,8/16/2015,7.4,Hilton London Euston,United States of America,Wi fi is a disaster makes it impossible to work Air conditioning not working Carpet should have been changed years ago furniture is functional but old odd geometry eith windows opening up on vent system noisy or on the dining room no privacy,45,843,No Positive,0,1,5.8,"[' Business trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",718 day,51.5265189,-0.13036889999999998,North America
69206,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,7/13/2017,7.4,Hilton London Euston,United States of America,No Negative,0,843,Room adequate Bathroom facilities up to par,8,2,7.1,"[' Leisure trip ', ' Family with young children ', ' Double Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",21 days,51.5265189,-0.13036889999999998,North America
69228,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,5/10/2017,7.4,Hilton London Euston,New Zealand,The room was tiny With the bed in it there was just enough room to get around it,19,843,No Positive,0,75,7.1,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",85 days,51.5265189,-0.13036889999999998,Oceania
69273,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,12/20/2016,7.4,Hilton London Euston,Canada,in 2017 charging for wifii Thats kinda lame,10,843,No Positive,0,3,8.3,"[' Leisure trip ', ' Solo traveler ', ' Double Guest Room ', ' Stayed 1 night ']",226 day,51.5265189,-0.13036889999999998,North America
69295,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,11/7/2016,7.4,Hilton London Euston,Australia,Nothing,2,843,The breakfast was great The facilities excellent,9,3,7.5,"[' Leisure trip ', ' Family with young children ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",269 day,51.5265189,-0.13036889999999998,Oceania
69301,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,10/20/2016,7.4,Hilton London Euston,Canada,Hard to find taxi,5,843,Enormous bed but nice,6,12,9.2,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",287 day,51.5265189,-0.13036889999999998,North America
69304,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,10/14/2016,7.4,Hilton London Euston,United States of America,The lift was broken and the lobby and hallways were worn especially the carpet,15,843,Very pleasant and helpful staff Clean rooms,8,1,7.1,"[' Business trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",293 day,51.5265189,-0.13036889999999998,North America
69306,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,10/4/2016,7.4,Hilton London Euston,Canada,No elevator bathroom floor was dirty,7,843,Comfortable beds,3,3,3.8,"[' Solo traveler ', ' Double Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",303 day,51.5265189,-0.13036889999999998,North America
69314,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,9/21/2016,7.4,Hilton London Euston,United States of America,Elevator not working,5,843,Large room walk in shower comfy bed,8,1,10.0,"[' Leisure trip ', ' Family with young children ', ' Family Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",316 day,51.5265189,-0.13036889999999998,North America
69338,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,8/7/2016,7.4,Hilton London Euston,Australia,Too hot Needs aircon,5,843,Staff were lovely Room was a good size,9,4,7.5,"[' Leisure trip ', ' Family with young children ', ' Twin Guest Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",361 day,51.5265189,-0.13036889999999998,Oceania
69356,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,7/2/2016,7.4,Hilton London Euston,New Zealand,Hotel billed my credit card twice in error emailed them yesterday to resolve haven t heard back yet,20,843,Great room great breakfast,6,1,7.5,"[' Leisure trip ', ' Family with older children ', ' Twin Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",397 day,51.5265189,-0.13036889999999998,Oceania
69364,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,6/19/2016,7.4,Hilton London Euston,United States of America,Close to train,4,843,Close to train station,5,21,7.1,"[' Business trip ', ' Family with older children ', ' Single Guest Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",410 day,51.5265189,-0.13036889999999998,North America
69432,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,11/8/2015,7.4,Hilton London Euston,United States of America,Very uncomfortable room Very hot and miserable No ventilation or air conditioning E mail manger but never responded,19,843,Location,2,5,3.8,"[' Business trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 1 night ']",634 day,51.5265189,-0.13036889999999998,North America
69441,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,9/29/2015,7.4,Hilton London Euston,United States of America,Although I am Hilton Honors member I was put into a single room the size of postage stamp,20,843,Nothing special,4,9,5.8,"[' Leisure trip ', ' Solo traveler ', ' Single Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",674 day,51.5265189,-0.13036889999999998,North America
69456,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,8/26/2015,7.4,Hilton London Euston,United States of America,No A C,4,843,location breakfast,4,10,7.5,"[' Leisure trip ', ' Group ', ' 2 rooms ', ' Stayed 1 night ']",708 day,51.5265189,-0.13036889999999998,North America
69465,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,8/4/2015,7.4,Hilton London Euston,Canada,No air conditioning due to renovations Free wifi for one hour only,13,843,Excellent breakfast Walked to train station where caught subway to heathrow,12,6,7.9,"[' Leisure trip ', ' Family with older children ', ' Superior King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",730 day,51.5265189,-0.13036889999999998,North America
85483,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,7/11/2017,9.3,Hilton London Bankside,Australia,Had trouble working out how to turn on hot water in the shower had several cold showers before Imanaged to ask housekeeping how it worked I made the mistake of travelling from Heathrow on the underground without water and with a large suitcase In the hot weather the tube is very hot and stuffy and became quite crowded I struggled bringing my suitcase to the hotel largely because I was dehydrated Fortunately a staff member helped me as I approached the hotel,84,2319,Fantastic location short walk to Tate Modern and Shakespeare s Globe had a day going to a performance of Romeo Juliet and visiting Tate Also used the pool comfortable water temperature Staff all very pleasant and eager to be helpful Extensive options at breakfast buffet Not far to underground Room very comfortable,54,19,9.6,"[' Leisure trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",23 days,51.5056956,-0.101525,Oceania
85487,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,7/6/2017,9.3,Hilton London Bankside,Australia,Executive club food was awful all dried up Cold breakfast food at 7am Only Prosecco no Champagne or sparkling wine Very poor selection of alcoholic drinks felt like an airport lounge rather than an executive club,38,2319,Very comfortable hotel spacious with comfy beds nice toiletries good night s sleep Quiet Excellent location plenty of lovely walks Tate Gallery Thames The Shard all close by Staff were so helpful very attentive and professional,38,64,8.3,"[' Leisure trip ', ' Group ', ' Executive Twin Room with Lounge Access ', ' Stayed 1 night ']",28 days,51.5056956,-0.101525,Oceania
85489,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,6/28/2017,9.3,Hilton London Bankside,Australia,No Negative,0,2319,The staff was just wonderful esecially Anais at the reception desk They were polite patient and welcoming All our questions were answered in no time The room was very comfortable and clean The breakfast could not be faulted and the dining area made you feel relaxed and gave an at home feeling Again the members of staff were very attentive caring and helpful,65,1,10.0,"[' Business trip ', ' Solo traveler ', ' Twin Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",36 days,51.5056956,-0.101525,Oceania
